"No","표준명 [INGR_KOR_NAME] ","영문명 [INGR_ENG_NAME] ","CASNO [CAS_NO] ","기원및정의 [ORIGIN_MAJOR_KOR_NAME] ","이명 [INGR_SYNONYM] ","rownum"
"18858","에스에이치-폴리펩타이드-103","sh-Polypeptide-103","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 휴먼펩타이드이다. 출발유전자는 Heat shock protein beta-2를 코딩하는 인간 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 182개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18858"
"18859","에스알-올리고펩타이드-1","sr-Oligopeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 합성하여 생산된 것이며, 최종 펩타이드는 91개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18859"
"18860","에스알-삼세기폴리펩타이드-1","sr-Sea Raven Polypeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 삼세기에서 유래하는 Type-2 Ice-restructuring Protein를 코딩하는 유전자와 동일한 코드를 갖도록 합성한 것이다. 모단백질은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 163개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18860"
"18861","에스알-오션파우트폴리펩타이드-1","sr-Ocean Pout Polypeptide-1","","이 원료는 다른 성분의 정의에 포함되어 참고로 기재한 것이며. 시판되는 원료는 아닐수 있다. 이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 오션파우트에서 유래한 Type-3 Ice-structuring Protein HPLC12를 코딩하는 유전자와 동일한 코드를 갖도록 합성한 것이다. 모단백질은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 66개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18861"
"18862","1-나프탈렌아세틱애씨드","1-Naphthaleneacetic Acid","86-87-3","이 원료는 다음의 구조를 갖는 유기화합물이다.","","18862"
"18863","메티오닐에스에이치-폴리펩타이드-92","Methionyl sh-Polypeptide-92","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성 융합 펩타이드이다. 출발유전자는 메티오닌 개시코드를 갖도록 에스에이치-폴리펩타이드-92의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 110개의 아미노산으로 이루어져 있으며, 그 단백질은 표준아미노산이다.","","18863"
"18864","메티오닐에스에이치-폴리펩타이드-93","Methionyl sh-Polypeptide-93","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성 융합 펩타이드이다. 출발유전자는 메티오닌 개시코드를 갖도록 에스에이치-폴리펩타이드-93의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 323개의 아미노산으로 이루어져 있으며, 그 단백질은 표준아미노산이다.","","18864"
"18865","알에이치-폴리펩타이드-31","rh-Polypeptide-31","","이 원료는 대장균에서 발효하여 얻은 단일사슬 재조합 휴먼펩타이드이다. 출발유전자는 인체세포에서 직접 분리된 Insulin-Like Growth Factor 2을 코딩하는 사람 유전자로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 180개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18865"
"18866","에스에이치-폴리펩타이드-80","sh-Polypeptide-80","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 휴먼펩타이드이다. 출발유전자는 Peroxiredoxin-2를 코딩하는 사람 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 198개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18866"
"18867","에스알-고양이폴리펩타이드-1","sr-Cat Polypeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 고양이에서 유래한 상피세포성장인자(Epidermal Growth Factor)를 코딩하는 유전자와 동일하도록 합성된 것이다. 모단백질은 다이설파이드결합 및/또는 글라이코실레이션을 갖는 최대 1210개의 아미노산으로 이뤄져 있으며, 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18867"
"18868","에스알-닭폴리펩타이드-1","sr-Chicken Polypeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 닭에서 유래한 상피세포성장인자(Epidermal Growth Factor)를 코딩하는 유전자와 동일하도록 합성된 것이다. 모단백질은 다이설파이드결합 및/또는 글라이코실레이션을 갖는 최대 1245개의 아미노산으로 이뤄져 있으며, 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18868"
"18869","에스알-개폴리펩타이드-1","sr-Dog Polypeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 개에서 유래한 상피세포성장인자(Epidermal Growth Factor)를 코딩하는 유전자와 동일하도록 합성된 것이다. 모단백질은 다이설파이드결합 및/또는 글라이코실레이션을 갖는 최대 1216개의 아미노산으로 이뤄져 있으며, 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18869"
"18870","에스알-말올리고펩타이드-1","sr-Horse Oligopeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 말에서 유래한 상피세포성장인자(Epidermal Growth Factor)를 코딩하는 유전자와 동일하도록 합성된 것이다. 모단백질은 다이설파이드결합 및/또는 글라이코실레이션을 갖는 최대 89개의 아미노산으로 이뤄져 있으며, 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18870"
"18871","에스알-생쥐폴리펩타이드-1","sr-Mouse Polypeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 단백질이다. 출발유전자는 쥐(mouse)에서 유래한 상피세포성장인자(Epidermal Growth Factor)를 코딩하는 유전자와 동일하도록 합성된 것이다. 모단백질은 다이설파이드결합 및/또는 글라이코실레이션을 갖는 최대 1217개의 아미노산으로 이뤄져 있으며, 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18871"
"18872","위도상사화추출물","Lycoris Uydoensis Extract","","이 원료는 위도상사화 Lycoris uydoensis의 전초에서 추출한 것이다.","","18872"
"18873","페디오코쿠스/사과즙발효여과물","","","이 원료는 미생물의 일종인 Pediococcus로 사과즙을 발효하여 여과한 것이다.","","18873"
"18874","페디오코쿠스/블랙초크베리발효추출물","","","이 원료는 미생물의 일종인 Pediococcus로 블랙초크베리 Aronia melanocarpa의 열매를 발효하여 추출한 것이다.","","18874"
"18875","아스퍼질러스/알로에베라잎/쌀발효추출물","","","이 원료는 미생물의 일종인 Aspergillus로 알로에베라 Aloe vera의 잎과 쌀 Oryza Sativa을 발효하여 추출한 것이다.","","18875"
"18876","아스퍼질러스/페퍼민트잎/쌀발효추출물","","","이 원료는 미생물의 일종인 Aspergillus로 페퍼민트 Mentha piperita의 잎과 쌀 Oryza Sativa을 발효하여 추출한 것이다.","","18876"
"18877","아스퍼질러스/쌀/로즈마리잎발효추출물","","","이 원료는 미생물의 일종인 Aspergillus로 쌀 Oryza Sativa과 로즈마리 Rosmarinus officinalis의 잎을 발효하여 추출한 것이다.","","18877"
"18878","아스퍼질러스/자몽/쌀발효추출물","","","이 원료는 미생물의 일종인 Aspergillus로 자몽 Citrus paradisi의 열매와 쌀 Oryza Sativa을 발효하여 추출한 것이다.","","18878"
"18879","아세틸옥타펩타이드-3올리고펩타이드-133","Acetyl Octapeptide-3 Oligopeptide-133","","이 원료는 옥타펩타이드-3과 올리고펩타이드-133으로 구성된 합성 펩타이드의 아세틸화 반응으로 얻은 것이다.","","18879"
"18880","카페오일트라이펩타이드-34","Caffeoyl Tripeptide-34","","이 원료는 카페익애씨드 및 트라이펩타이드-34의 반응으로 얻은 것이다.","","18880"
"18881","피피지-2하이드록시프로필트라이모늄셀룰로오스","PPG-2 Hydroxypropyltrimonium Cellulose","","이 원료는 하이드록시프로필셀룰로오스, 프로필렌옥사이드 및 글라이시딜트라이메틸암모늄클로라이드의 반응으로 얻은 4급 암모늄염으로, 프로폭실화 값은 평균 2이다.","","18881"
"18882","분홍느타리추출물","","","이 원료는 분홍느타리 Pleurotus Salmoneostramineus에서 추출한 것이다.","","18882"
"18883","헥사펩타이드-40에스에이치-올리고펩타이드-1","Hexapeptide-40 sh-Oligopeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 펩타이드이다. 출발유전자는 헥사펩타이드-40 및 에스에이치-올리고펩타이드-1의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 59개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18883"
"18884","2,5-다이하이드록시벤조일다이펩타이드-48","2,5-Dihydroxybenzoyl Dipeptide-48","","이 원료는 2,5-다이하이드록시벤조익애씨드 및 다이펩타이드-48의 반응으로 얻은 것이다.","","18884"
"18885","갈로일다이펩타이드-8아마이드","Galloyl Dipeptide-8 Amide","","이 원료는 다이펩타이드-8과 갈릭애씨드의 반응으로 얻은 것으로, C-말단은 아마이드이다.","","18885"
"18886","갈로일다이펩타이드-50아마이드","Galloyl Dipeptide-50 Amide","","이 원료는 다이펩타이드-50과 갈릭애씨드의 반응으로 얻은 것으로, C-말단은 아마이드이다.","","18886"
"18887","3,4-다이하이드록시벤조일다이펩타이드-49아마이드","3,4-Dihydroxybenzoyl Dipeptide-49 Amide","","이 원료는 다이펩타이드-49와 3,4-다이하이드록시벤조익애씨드의 반응으로 얻은 것으로, C-말단은 아마이드이다.","","18887"
"18888","2,5-다이하이드록시벤조일다이펩타이드-27","2,5-Dihydroxybenzoyl Dipeptide-27","","이 원료는 2,5-다이하이드록시벤조익애씨드 및 다이펩타이드-27의 반응으로 얻은 것이다.","","18888"
"18889","스피어민트꽃/잎/줄기오일","Mentha Spicata Flower/Leaf/Stem Oil","","이 원료는 스피어민트 Mentha spicata의 꽃, 잎, 줄기에서 얻은 휘발성 오일이다.","","18889"
"18890","락토바실러스/돌외발효여과물","","","이 원료는 미생물의 일종인 Lactobacillus로 돌외 Gynostemma Pentaphyllum의 전초를 발효하여 여과한 것이다.","","18890"
"18891","피엔에이-26카복시에틸플루오렌","PNA-26 Carboxyethyl Fluorene","","이 원료는 주로 다음의 구조를 갖는 아데닌, 아미노에톡시메틸피롤로피리미돈, 아미노펜틸아미노아데닌, 아미노펜틸구아닌, 사이토신, 구아닌 및 티민으로 구성된 14개의 핵염기를 포함하는 피엔에이의 변형된 폴리머이다. R은 핵염기이다.","","18891"
"18892","피엔에이-25카복시에틸플루오렌","PNA-25 Carboxyethyl Fluorene","","이 원료는 주로 다음의 구조를 갖는 아데닌, 아미노에톡시메틸피롤로피리미돈, 아미노펜틸아미노아데닌, 아미노펜틸구아닌, 사이토신, 구아닌 및 티민으로 구성된 12개의 핵염기를 포함하는 피엔에이의 변형된 폴리머이다. R은 핵염기이다.","","18892"
"18893","피엔에이-24카복시에틸플루오렌","PNA-24 Carboxyethyl Fluorene","","이 원료는 주로 다음의 구조를 갖는 아데닌, 아미노에톡시메틸피롤로피리미돈, 아미노펜틸아미노아데닌, 아미노펜틸구아닌, 사이토신, 구아닌 및 티민으로 구성된 14개의 핵염기를 포함하는 피엔에이의 변형된 폴리머이다. R은 핵염기이다.","","18893"
"18894","피엔에이-23카복시에틸플루오렌","PNA-23 Carboxyethyl Fluorene","","이 원료는 주로 다음의 구조를 갖는 아데닌, 아미노에톡시메틸피롤로피리미돈, 아미노펜틸아미노아데닌, 아미노펜틸구아닌, 사이토신, 구아닌 및 티민으로 구성된 14개의 핵염기를 포함하는 피엔에이의 변형된 폴리머이다. R은 핵염기이다.","","18894"
"18895","피엔에이-22카복시에틸플루오렌","PNA-22 Carboxyethyl Fluorene","","이 원료는 주로 다음의 구조를 갖는 아데닌, 아미노에톡시메틸피롤로피리미돈, 아미노펜틸아미노아데닌, 아미노펜틸구아닌, 사이토신, 구아닌 및 티민으로 구성된 16개의 핵염기를 포함하는 피엔에이의 변형된 폴리머이다. R은 핵염기이다.","","18895"
"18896","피엔에이-21카복시에틸플루오렌","PNA-21 Carboxyethyl Fluorene","","이 원료는 주로 다음의 구조를 갖는 아데닌, 아미노에톡시메틸피롤로피리미돈, 아미노펜틸아미노아데닌, 아미노펜틸구아닌, 사이토신, 구아닌 및 티민으로 구성된 14개의 핵염기를 포함하는 피엔에이의 변형된 폴리머이다. R은 핵염기이다.","","18896"
"18897","가시여지잎가루","","","이 원료는 가시여지 Annona muricata의 잎을 건조하여 얻은 가루이다.","","18897"
"18898","꽃향유꽃추출물","Elsholtzia Splendens flower extract","","이 원료는 꽃향유 Elsholtzia splendens의 꽃에서 추출한 것이다.","","18898"
"18899","흰민들레꽃추출물","Taraxacum Coreanum Flower Extract","","이 원료는 흰민들레 Taraxacum coreanum의 꽃에서 추출한 것이다.","","18899"
"18900","퀸즈랜드넛/마카다미아씨오일","Macadamia Integrifolia/Tetraphylla Seed Oil","438545-25-6(generic)","이 원료는 퀸즈랜드넛 Macadamia Integrifolia 및 마카다미아 Macadamia Ternifolia의 씨를 압착하여 얻은 오일이다.","","18900"
"18901","아스퍼질러스/라벤더잎/쌀발효추출물","","","이 원료는 미생물의 일종인 Aspergillus로 라벤더 Lavandula angustifolia의 잎과 쌀 Oryza sativa를 발효하여 추출한 것이다","","18901"
"18902","물망초꽃","","","이 원료는 물망초 Myosotis sylvatica의 꽃을 건조한 것이다.","","18902"
"18903","송이버섯균사체","Tricholoma Matsutake Mycelium","","이 원료는 송이버섯 Tricholoma matsutake의 균사체이다.","","18903"
"18904","시프리올뿌리오일","","91771-62-9","이 원료는 시프리올 Cyperus Scariosus의 뿌리를 증류하여 얻은 휘발성 오일이다.","","18904"
"18905","셀라스트러스씨오일","","","이 원료는 셀라스트러스 Celastrus paniculatus의 씨를 압착하여 얻은 오일이다.","","18905"
"18906","락토바실러스/콩/(복분자딸기/산초나무)열매발효추출물","","","이 원료는 미생물의 일종인 Lactobacillus로 콩 Glycine max의 씨, 복분자딸기 Rubus coreanus 및 산초나무 Zanthoxylum schinifolium의 열매를 발효하여 추출한 것이다","","18906"
"18907","참당귀뿌리/감초뿌리/인동덩굴꽃/도라지뿌리/탱자/황금뿌리/진득찰잎/줄기/도꼬마리열매추출물","","","이 원료는 참당귀 Angelica gigas의 뿌리, 감초 Glycyrrhiza uralensis의 뿌리. 인동덩굴 Lonicera japonica의 꽃, 도라지 Platycodon grandifloruus의 뿌리, 탱자 Poncirus trifoliata의 열매, 황금 Scutellaria baicalensis 의 뿌리, 진득찰 Sigesbeckia glabrescens의 잎과 줄기, 도꼬마리 Xanthium strumarium의 열매에서 추출한 것이다.","","18907"
"18908","석창포줄기/참당귀뿌리/귤껍질/약모밀잎/인동덩굴꽃/측백나무잎/도라지뿌리/탱자/장엽대황뿌리/삼백초잎/왕느릅나무껍질/도꼬마리열매추출물","","","이 원료는 석창포 Acorus gramineus의 줄기, 참당귀 Angelica gigas의 뿌리, 귤 Citrus unshiu의 껍질, 약모밀 Houttuynia cordata의 잎, 인동덩굴 Lonicera japonica의 꽃, 측백나무 Platycladus orientalis의 잎, 도라지 Platycodon grandifloruus의 뿌리, 탱자 Poncirus trifoliata의 열매, 장엽대황 Rheum palmatum의 뿌리, 삼백초 Saururus chinensis의 잎, 왕느릅나무 Ulmus macrocarpa의 나무껍질, 도꼬마리 Xanthium strumarium의 열매에서 추출한 것이다.","","18908"
"18909","에틀리아 텍센시스오일","Ettlia Texensis Oil","","이 원료는 조류의 일종인 Ettlia texensis를 배양하고 압착하여 얻은 오일이다.","","18909"
"18910","곤달비추출물","Ligularia Stenocephala Extract","","이 원료는 곤달비 Ligularia stenocephala의 전초에서 추출한 것이다.","","18910"
"18911","일월비비추추출물","Hosta Capitata Extract","","이 원료는 일월비비추 Hosta capitata의 전초에서 추출한 것이다.","","18911"
"18912","알-(에스-레인보우트라우트올리고펩타이드-1에스에이치-폴리펩타이드-116)","r-(s-Rainbow Trout Oligopeptide-1 sh-Polypeptide-116)","","이 원료는 대장균에서 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 에스알-레인보우트라우트올리고펩타이드-1과 에스에이치-폴리펩타이드-116의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 305개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18912"
"18913","알-(에스-레인보우트라우트올리고펩타이드-1에스에이치-폴리펩타이드-58)","r-(s-Rainbow Trout Oligopeptide-1 sh-Polypeptide-58)","","이 원료는 대장균에서 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 에스알-레인보우트라우트올리고펩타이드-1과 에스에이치-폴리펩타이드-58의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 198개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18913"
"18914","알-(에스-레인보우트라우트올리고펩타이드-1에스에이치-폴리펩타이드-62)","r-(s-Rainbow Trout Oligopeptide-1 sh-Polypeptide-62)","","이 원료는 대장균에서 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 에스알-레인보우트라우트올리고펩타이드-1과 에스에이치-폴리펩타이드-62의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 477개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18914"
"18915","알-(에스-레인보우트라우트올리고펩타이드-1에스에이치-폴리펩타이드-72)","r-(s-Rainbow Trout Oligopeptide-1 sh-Polypeptide-72)","","이 원료는 대장균에서 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 에스알-레인보우트라우트올리고펩타이드-1과 에스에이치-폴리펩타이드-72의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 180개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18915"
"18916","알-(에스-레인보우트라우트올리고펩타이드-1에스에이치-폴리펩타이드-66)","r-(s-Rainbow Trout Oligopeptide-1 sh-Polypeptide-66)","","이 원료는 대장균에서 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 에스알-레인보우트라우트올리고펩타이드-1과 에스에이치-폴리펩타이드-66의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 569개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","18916"
"18917","황해쑥잎수","Artemisia Argyi Leaf Water","","이 원료는 황해쑥 Artemisia argyi의 잎을 수증기 증류하여 얻은 수용액이다.","","18917"
"18918","락토바실러스/흰버드나무껍질발효여과물","Lactobacillus/Salix Alba Bark Ferment Filtrate","","이 원료는 미생물의 일종인 Lactobacillus로 흰버드나무 Salix alba의 나무껍질을 발효하여 여과한 것이다.","","18918"
"18919","블랙초크베리캘러스추출물","Aronia Melanocarpa Callus Extract","","이 원료는 블랙초크베리 Aronia melanocarpa의 배양된 캘러스에서 추출한 것이다.","","18919"
"18920","드럼스틱캘러스추출물","Moringa Oleifera Callus Extract","","이 원료는 드럼스틱 Moringa oleifera의 배양된 캘러스에서 추출한 것이다.","","18920"
"18921","멀베로사이드에이","Mulberroside A","102841-42-9","이 원료는 다음의 구조를 갖는 유기화합물이다.","","18921"
"18922","윈터체리캘러스추출물","Withania Somnifera Callus Extract","","이 원료는 윈터체리 Withania somnifera의 배양된 캘러스에서 추출한 것이다.","","18922"
"18923","알-(메티오닐헥사펩타이드-40에스에이치-폴리펩타이드-119올리고펩타이드-164)","r-(Methionyl Hexapeptide-40 sh-Polypeptide-119 Oligopeptide-164)","","이 원료는 대장균에서 발효하여 얻은 단일사슬재조합 펩타이드이다. 출발유전자는 헥사펩타이드-40, 에스에이치-폴리펩타이드-119 및 올리고펩타이드-164의 유전자를 융합하여 합성한 것으로, 메티오닌을 개시코드로 갖는다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 아미노산으로 구성되어 있으며, 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18923"
"18924","참당귀뿌리/황해쑥잎/병풀/감국꽃/한련초꽃/회향잎/약모밀잎/인동덩굴꽃/작약뿌리/측백나무잎/장엽대황뿌리/고삼뿌리/사상자씨추출물","","","이 원료는 참당귀 Angelica gigas의 뿌리, 황해쑥 Artemisia argyi의 잎, 병풀 Centella asiatica의 전초, 감국 Chrysanthemum indicum의 꽃, 한련초 Eclipta prostrata의 꽃, 회향 Foeniculum vulgare의 잎, 약모밀 Houttuynia cordata의 잎, 인동덩굴 Lonicera japonica의 꽃, 작약 Paeonia lactiflora의 뿌리, 측백나무 Platycladus orientalis의 잎, 장엽대황 Rheum palmatum의 뿌리, 고삼 Sophora flavescens의 뿌리, 사상자 Torilis japonica 의 씨에서 추출한 것이다.","","18924"
"18925","락토바실러스/콜라겐/아이스플랜트잎추출물발효용해물","Lactobacillus/Collagen/Mesembryanthemum Crystallinum Leaf Extract Ferment Lysate","","이 원료는 미생물의 일종인 Lactobacillus로 콜라겐 및 아이스플랜트Mesembryanthemum crystallinum의 잎을 추출하고 발효하여 용해한 것이다.","","18925"
"18926","시스테아민","Cysteamine","","이 원료는 다음의 구조를 갖는 유기화합물이다. 다만 펌제의 주성분으로 사용할 수 없다.","","18926"
"18927","스트렙토미세스 붕고엔시스발효여과물","","","이 원료는 미생물의 일종인 Streptomyces bungoensis를 발효하여 여과한 것이다.","","18927"
"18928","천일홍꽃","","","이 원료는 천일홍 Gomphrena globosa의 꽃이다.","","18928"
"18929","페디오코쿠스발효추출물","Pediococcus Ferment Extract","","이 원료는 미생물의 일종인 페디오코쿠스를 발효하여 추출한 것이다.","","18929"
"18930","소듐카복시메틸하이알루로네이트","Sodium Carboxymethyl Hyaluronate","","이 원료는 소듐하이알루로네이트의 카복시메틸 유도체이다.","","18930"
"18931","흑차추출물","Camellia Sinensis Leaf Extract","","이 원료는 차나무 Camellia Sinensis의 잎을 미생물에 의해 발효하여 얻은 흑차를 추출한 것이다.","","18931"
"18932","왕느릅나무껍질가루","","","이 원료는 왕느릅나무 Ulmus macrocarpa의 껍질을 가루로 한 것이다.","","18932"
"18933","윈터체리뿌리오일","","","이 원료는 윈터체리 Withania Somnifera의 뿌리를 압착하여 얻은 오일이다.","","18933"
"18934","다이펩타이드-8","Dipeptide-8","","이 원료는 알라닌 및 하이드록시프롤린으로 구성된 합성 펩타이드이다.","","18934"
"18935","라우릴피지-다이모늄클로라이드","Lauryl PG-Dimonium Chloride","","이 원료는 다음의 구조를 갖는 4급 암모늄염이다","","18935"
"18936","제아잔틴","Zeaxanthin","144-68-3","이 원료는 다음의 구조를 갖는 카로테노이드이다.","","18936"
"18937","올리고펩타이드-91에스에이치-폴리펩타이드-85","Oligopeptide-91 sh-Polypeptide-85","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성 융합 펩타이드이다. 출발유전자는 올리고펩타이드-91 및 에스에이치-폴리펩타이드-85의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 228개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18937"
"18938","트라이펩타이드-46헥사펩타이드-40데카펩타이드-27아이소류실올리고펩타이드-91테트라펩타이드-38에스에이치-폴리펩타이드-9","Tripeptide-46 Hexapeptide-40 Decapeptide-27 Isoleucyl Oligopeptide-91 Tetrapeptide-38 sh- Polypeptide-9","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성 융합 펩타이드이다. 출발유전자는 트라이펩타이드-46, 헥사펩타이드-40, 데카펩타이드-27, 아이소류신, 올리고펩타이드-91, 테트라펩타이드-38 및 에스에이치-폴리펩타이드-9의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 212개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18938"
"18939","올리고펩타이드-91에스에이치-폴리펩타이드-1","Oligopeptide-91 sh-Polypeptide-1","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성 융합 펩타이드이다. 출발유전자는 올리고펩타이드-91 및 에스에이치-폴리펩타이드-1의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 167개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18939"
"18940","올리고펩타이드-91에스에이치-폴리펩타이드-2","Oligopeptide-91 sh-Polypeptide-2","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성 융합 펩타이드이다. 출발유전자는 올리고펩타이드-91 및 에스에이치-폴리펩타이드-2의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 126개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18940"
"18941","올리고펩타이드-91에스에이치-폴리펩타이드-9","Oligopeptide-91 sh-Polypeptide-9","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성 융합 펩타이드이다. 출발유전자는 올리고펩타이드-91 및 에스에이치-폴리펩타이드-9의 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 186개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18941"
"18942","알-(올리고펩타이드-133에스에이치-올리고펩타이드-1)","r-(Oligopeptide-133 sh-Oligopeptide-1)","","이 원료는 대장균을 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 올리고펩타이드-133 및 에스에이치-올리고펩타이드-1을 코딩하는 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 79개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18942"
"18943","알-(올리고펩타이드-133에스에이치-폴리펩타이드-11)","r-(Oligopeptide-133 sh-Polypeptide-11)","","이 원료는 대장균을 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 올리고펩타이드-133 및 에스에이치-폴리펩타이드-11을 코딩하는 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 166개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18943"
"18944","알-(올리고펩타이드-133에스에이치-올리고펩타이드-2)","r-(Oligopeptide-133 sh-Oligopeptide-2)","","이 원료는 대장균을 발효하여 얻은 단일사슬 융합 펩타이드이다. 출발유전자는 올리고펩타이드-133 및 에스에이치-올리고펩타이드-2를 코딩하는 유전자를 융합하여 합성한 것이다. 융합 펩타이드는 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 96개의 아미노산으로 구성되어 있으며 그 단백질을 구성하는 아미노산은 표준아미노산이다.","","18944"
